Please specify your gender,Once in a while I can't control the urge to strike another person,I refrain from physical duels even when ticked-off by others,"Given enough provocation, I might hit another person",I can think of no good reason for hurting another person,"If someone hits me, I hit back",I get into fights a little more than the average person,I have never threatened people I know,"If I have to resort to violence to protect my rights, I will",I have never become so mad that I have broken things,What is an estimate for the number of fights you've been involved in over the last six months,For how many years or months have you been listening to Drill music,"On average, how many hours a week do you spend listening to Drill music","Lastly, please indicate your age below"
Male,2,4,4,2,4,1,3,4,4,0,18.0,30.0,21
Male,2,4,2,3,2,1,4,5,4,0,3.0,2.0,21
Male,2,2,5,1,5,3,1,4,2,1,4.0,10.0,16
Male,3,2,3,4,1,3,3,1,2,2,2.0,12.0,15
Male,4,1,5,2,5,3,1,5,1,1,2.0,10.0,15
Male,4,2,5,2,5,4,4,5,2,7,365.0,20.0,16
Male,2,4,4,3,4,3,3,4,4,0,24.0,5.0,16
Male,2,4,5,2,3,2,3,4,2,0,10.0,4.0,17
Male,1,4,3,3,5,3,2,4,1,1,6.0,20.0,19
Male,3,2,3,1,5,1,5,5,2,0,5.0,20.0,18
Male,4,4,5,2,4,2,1,5,1,2,16.0,4.0,17
Male,1,3,1,2,5,1,1,5,4,0,2.0,26.0,19
Male,3,3,3,3,3,3,3,3,3,0,4.0,9.0,16
Male,1,2,1,2,3,2,5,3,3,0,1.0,12.0,15
Male,1,5,1,5,1,1,5,1,1,0,1.0,3.0,15
Male,4,3,4,5,5,2,3,5,3,0,2.0,8.0,20
Male,4,2,5,2,5,1,1,5,1,0,3.0,5.0,17
Male,2,5,2,4,3,1,5,3,3,0,2.0,8.0,15
Male,1,5,3,3,4,2,1,3,2,0,1.0,3.0,18
Male,1,4,3,2,4,1,5,3,2,1,2.0,17.5,21
Male,3,2,4,2,5,3,2,4,1,1,5.0,10.0,19
Male,3,3,5,2,5,1,1,5,1,1,6.0,4.0,19
Male,1,3,5,1,5,5,1,5,1,4,2.0,17.0,15
Male,2,2,5,2,5,1,1,5,1,0,4.0,70.0,16
Male,1,4,3,3,4,1,1,4,5,0,2.0,5.0,16
Male,1,5,4,2,5,1,1,5,5,0,3.0,6.0,16
Male,2,2,5,2,5,3,2,5,4,6,2.0,40.0,14
Male,1,3,5,1,5,4,2,5,1,1,2.0,2.0,22
Male,4,3,5,1,5,4,2,5,4,1,2.0,6.0,15
Male,1,5,4,3,5,2,4,5,4,0,12.0,10.0,20
Male,3,2,5,1,5,3,4,5,3,1,0.0,0.0,15
Male,3,2,5,2,5,4,3,5,3,3,3.0,26.0,16
Male,1,5,3,2,5,1,3,5,5,0,4.0,10.0,20
Male,5,2,5,3,5,4,2,5,1,3,3.0,8.0,15
Male,2,2,3,1,5,1,5,5,5,0,3.0,6.0,15
Male,1,4,4,3,2,1,5,1,5,0,9.0,20.0,15
Male,3,3,5,4,4,1,3,5,1,0,5.0,1.0,16
Male,4,3,5,2,3,1,5,3,5,6,4.0,3.0,16
Male,2,4,5,4,5,2,4,5,1,4,3.0,5.0,15
Male,1,4,3,3,5,1,2,4,5,0,4.0,10.0,15
Male,4,3,5,1,3,2,1,5,3,1,2.0,4.0,14
Male,3,1,5,2,5,3,2,4,1,2,4.0,3.0,22
Male,3,4,4,2,5,3,4,5,1,2,2.0,20.0,18
Male,1,2,3,2,5,3,2,5,5,0,3.0,15.0,16
Male,4,3,4,2,4,3,4,3,2,1,1.5,3.0,17
Male,1,3,5,1,5,1,5,5,1,0,4.0,30.0,19
Male,3,4,4,3,4,3,3,4,3,0,1.0,10.0,14
Male,2,2,2,1,4,1,1,2,1,10,1.0,7.0,18
Male,1,5,2,3,5,1,5,5,1,0,0.0,0.0,22
Male,4,4,2,2,4,1,4,5,5,0,1.0,2.0,14
Male,3,2,4,1,4,3,3,3,1,10,3.0,14.0,14
Male,4,2,5,1,5,3,4,5,2,5,5.0,100.0,20
Male,1,5,5,4,5,1,2,5,2,0,2.0,30.0,19
Male,1,5,3,3,5,2,1,5,2,0,18.0,6.0,19
Male,2,3,3,2,5,2,4,5,1,2,3.0,1.0,15
Male,1,3,3,3,5,1,4,5,2,0,2.0,1.0,14
Male,1,2,4,5,4,1,4,3,1,3,4.0,7.0,16
Male,1,5,1,3,1,1,5,1,5,0,5.0,11.0,17
Male,1,5,2,3,4,4,5,5,5,2,0.0,0.0,16
Male,2,2,4,1,3,1,2,4,1,0,3.0,6.0,20
Male,2,5,5,2,3,1,3,3,3,0,2.0,6.5,16
Male,1,5,3,3,4,1,5,3,5,1,2.0,2.0,16
Male,2,3,3,1,5,1,3,5,2,2,6.0,1.0,17
Male,4,5,5,2,5,2,2,5,2,0,6.0,1.0,14
Male,2,4,4,1,5,1,2,5,1,1,6.0,20.0,21
Male,2,2,4,1,5,3,2,5,1,1,2.0,6.5,20
Male,1,4,2,4,3,1,5,5,1,0,1.0,3.0,20
Male,5,1,5,1,5,1,5,5,5,1,6.0,35.0,16
Male,3,4,4,3,5,3,5,5,4,1,4.0,12.0,16
Male,1,2,1,2,2,2,1,1,2,0,5.0,25.0,17
Male,1,5,4,1,5,1,3,5,5,0,1.0,10.0,20
Male,2,2,4,1,4,1,1,4,3,0,6.0,4.0,20
Male,1,2,3,3,4,2,5,4,2,0,2.0,30.0,15
Male,3,4,2,2,5,3,2,5,5,2,1.0,10.0,15
Male,4,3,5,3,4,1,4,5,3,0,24.0,24.0,15
Male,1,2,3,2,5,2,4,5,1,0,1.0,20.0,16
Male,5,4,5,1,5,5,2,5,1,10,2.0,10.0,17
Male,2,3,5,1,5,2,4,4,1,0,3.0,4.0,19
Male,5,5,5,1,3,1,1,5,1,0,2.0,5.0,16
Male,5,1,5,1,5,3,1,5,5,2,24.0,6.0,17
Male,3,3,5,1,5,2,1,3,1,2,1.0,8.0,20
Male,2,4,5,1,5,3,2,5,1,2,24.0,3.5,14
Male,4,3,4,2,5,1,4,5,3,1,3.0,16.0,15
Male,2,4,4,2,4,2,1,4,2,2,4.0,20.0,21
Male,1,3,3,3,5,2,4,5,1,0,3.0,30.0,15
Male,3,3,4,1,4,2,3,5,1,0,15.0,5.0,14
Male,3,4,4,2,4,2,2,3,2,0,1.5,4.0,15
Male,1,2,2,5,5,2,2,3,4,3,7.0,30.0,20
Male,2,3,3,3,4,1,4,4,2,0,7.0,2.0,19
Male,5,2,5,1,5,3,2,5,1,2,5.0,8.0,16
Male,1,5,3,4,4,1,5,3,2,0,3.0,10.0,17
Male,1,4,4,2,5,1,5,3,2,0,1.0,6.0,18
Male,2,4,1,5,4,1,1,3,1,0,2.0,3.0,20
Male,2,3,4,1,4,2,2,5,1,0,1.0,3.0,14
Male,4,4,4,1,5,2,3,3,2,0,3.0,20.0,17
Male,3,3,5,2,5,3,2,4,1,1,3.0,14.0,20
Male,1,4,5,1,5,1,3,5,1,0,2.0,14.0,16
Male,1,5,4,1,2,3,5,5,1,0,15.0,12.0,16
Male,1,5,3,3,3,1,3,3,2,0,2.0,4.0,19
Male,4,2,5,1,5,3,1,5,4,0,4.0,24.0,18
Male,1,5,3,2,4,1,2,4,1,0,1.0,3.0,15
Male,5,4,5,1,5,2,1,5,1,2,2.0,15.0,16
Male,2,2,2,4,3,2,4,4,1,0,5.0,24.0,18
Male,3,5,2,5,5,1,4,5,5,0,5.0,12.0,16
Male,1,5,2,4,3,1,5,5,5,0,3.0,5.0,20
Male,2,3,2,3,2,1,2,4,1,0,0.0,30.0,17
Male,1,4,3,5,4,1,1,5,2,0,4.0,5.0,19
Male,1,4,4,1,5,1,4,5,1,0,1.0,2.0,14
Male,3,1,5,2,5,5,5,5,1,10,1.0,4.0,16
Male,3,1,5,2,5,2,2,4,2,3,2.0,0.5,18
Male,2,1,4,2,5,4,2,5,2,10,3.0,48.0,16
Male,4,1,5,2,5,4,1,5,1,3,1.0,3.0,18
Male,4,3,5,5,5,1,2,3,3,1,1.0,2.0,14
Male,4,3,4,3,5,4,4,5,5,2,5.0,48.0,15
Male,3,2,5,1,5,2,1,5,2,2,2.0,4.0,18
Male,3,3,4,2,5,1,4,2,2,0,1.0,10.0,18
Male,2,5,3,1,5,1,2,5,3,1,5.0,3.0,22
Male,3,2,5,2,5,3,1,5,1,6,2017.0,10.0,14
